plot,trt,pct_t,mos,rate_T,X,harv_date,days,pct_start,pct..from.R.,RANDBETWEEN.94108.105892..100000,col_D.JxK.
204,AC,13.456764,31.93481618,0.052081026,NA,15-May-24,972,71,12.9,1.05833,13.652457
304,AC,13.431867,31.93481618,0.052139015,NA,15-May-24,972,71,12.9,0.99945,12.892905
404,AC,21.71401,22.70263167,0.052184356,NA,8-Aug-23,691,71,21.1,1.03473,21.832803
104,AC,24.707928,19.94283274,0.052929076,NA,15-May-23,607,71,24.4,1.04834,25.579496
104,AC,46.5856,7.950849295,0.052999168,NA,15-May-22,242,71,46.4,1.00792,46.767488
104,AC,21.270066,22.70263167,0.053094248,NA,8-Aug-23,691,71,21.1,1.05373,22.233703
104,AC,12.913545,31.93481618,0.053371314,NA,15-May-24,972,71,12.9,0.95461,12.314469
304,AC,12.844788,31.93481618,0.053538487,NA,15-May-24,972,71,12.9,0.9595,12.37755
404,AC,12.761196,31.93481618,0.053742939,NA,15-May-24,972,71,12.9,1.04288,13.453152
104,AC,46.222752,7.950849295,0.053982627,NA,15-May-22,242,71,46.4,0.98948,45.911872
204,AC,24.161856,19.94283274,0.054049728,NA,15-May-23,607,71,24.4,0.97732,23.846608
304,AC,20.798059,22.70263167,0.054082726,NA,8-Aug-23,691,71,21.1,0.97571,20.587481
204,AC,39.7528,10.71064822,0.05415168,NA,8-Aug-22,326,71,40,1.04141,41.6564
104,AC,39.726,10.71064822,0.054214645,NA,8-Aug-22,326,71,40,1.0367,41.468
404,AC,24.062304,19.94283274,0.054256756,NA,15-May-23,607,71,24.4,0.95111,23.207084
104,AC,12.51816,31.93481618,0.05434506,NA,15-May-24,972,71,12.9,0.97673,12.599817
204,AC,20.592545,22.70263167,0.054520145,NA,8-Aug-23,691,71,21.1,0.97272,20.524392
404,AC,12.442953,31.93481618,0.054533755,NA,15-May-24,972,71,12.9,0.95478,12.316662
204,AC,23.695328,19.94283274,0.055027387,NA,15-May-23,607,71,24.4,1.03428,25.236432
104,AC,23.60578,19.94283274,0.055217245,NA,15-May-23,607,71,24.4,1.04915,25.59926
304,AC,45.698896,7.950849295,0.055416185,NA,15-May-22,242,71,46.4,0.97714,45.339296
404,AC,23.429368,19.94283274,0.055593386,NA,15-May-23,607,71,24.4,1.04782,25.566808
204,AC,19.926418,22.70263167,0.055968555,NA,8-Aug-23,691,71,21.1,0.94795,20.001745
404,AC,38.67,10.71064822,0.056730065,NA,8-Aug-22,326,71,40,0.94967,37.9868
304,AC,38.5304,10.71064822,0.057067726,NA,8-Aug-22,326,71,40,0.94765,37.906
404,AC,44.69016,7.950849295,0.058223533,NA,15-May-22,242,71,46.4,1.03816,48.170624
104,AC,38.04,10.71064822,0.058263667,NA,8-Aug-22,326,71,40,0.99749,39.8996
204,AC,44.556992,7.950849295,0.05859887,NA,15-May-22,242,71,46.4,1.02394,47.510816
104,ACO,71,0,0,NA,15-May-22,0,71,71,NA,NA
104,ACO,71,0,0,NA,15-May-22,0,71,71,NA,NA
204,ACO,71,0,0,NA,15-May-22,0,71,71,NA,NA
204,ACO,71,0,0,NA,15-May-22,0,71,71,NA,NA
304,ACO,71,0,0,NA,15-May-22,0,71,71,NA,NA
304,ACO,71,0,0,NA,15-May-22,0,71,71,NA,NA
404,ACO,71,0,0,NA,15-May-22,0,71,71,NA,NA
404,ACO,71,0,0,NA,15-May-22,0,71,71,NA,NA
304,ACO,46.784344,7.950849295,0.052463736,NA,15-May-22,242,71,44.3,0.99176,43.934968
404,ACO,46.534049,7.950849295,0.053138423,NA,15-May-22,242,71,44.3,0.97274,43.092382
204,ACO,39.6868,10.71064822,0.054306819,NA,8-Aug-22,326,71,37.6,1.05685,39.73756
404,ACO,45.228971,7.950849295,0.056716211,NA,15-May-22,242,71,44.3,1.05047,46.535821
104,ACO,22.757007,19.94283274,0.057053418,NA,15-May-23,607,71,21.7,0.98011,21.268387
104,ACO,22.709267,19.94283274,0.05715872,NA,15-May-23,607,71,21.7,1.01142,21.947814
304,ACO,11.311505,31.93481618,0.057519026,NA,15-May-24,972,71,10.7,1.03031,11.024317
404,ACO,22.517439,19.94283274,0.057584086,NA,15-May-23,607,71,21.7,1.04085,22.586445
304,ACO,19.18844,22.70263167,0.057630846,NA,8-Aug-23,691,71,18.4,1.0533,19.38072
404,ACO,19.185864,22.70263167,0.057636759,NA,8-Aug-23,691,71,18.4,1.0015,18.4276
204,ACO,11.264425,31.93481618,0.05764963,NA,15-May-24,972,71,10.7,1.01877,10.900839
104,ACO,11.248589,31.93481618,0.057693684,NA,15-May-24,972,71,10.7,1.05874,11.328518
404,ACO,11.151112,31.93481618,0.057966222,NA,15-May-24,972,71,10.7,0.99597,10.656879
104,ACO,11.040795,31.93481618,0.058277549,NA,15-May-24,972,71,10.7,0.97278,10.408746
104,ACO,44.54808,7.950849295,0.058624029,NA,15-May-22,242,71,44.3,0.98669,43.710367
204,ACO,10.917959,31.93481618,0.058627888,NA,15-May-24,972,71,10.7,0.95682,10.237974
104,ACO,18.688512,22.70263167,0.058793663,NA,8-Aug-23,691,71,18.4,0.95406,17.554704
204,ACO,21.960183,19.94283274,0.058840634,NA,15-May-23,607,71,21.7,1.02554,22.254218
304,ACO,21.934794,19.94283274,0.05889864,NA,15-May-23,607,71,21.7,0.96567,20.955039
204,ACO,18.426128,22.70263167,0.059416469,NA,8-Aug-23,691,71,18.4,0.97501,17.940184
204,ACO,44.2557,7.950849295,0.059452227,NA,15-May-22,242,71,44.3,0.95557,42.331751
204,ACO,37.5342,10.71064822,0.059513425,NA,8-Aug-22,326,71,37.6,0.96367,36.233992
404,ACO,10.560793,31.93481618,0.059669406,NA,15-May-24,972,71,10.7,0.99133,10.607231
304,ACO,21.563724,19.94283274,0.05975417,NA,15-May-23,607,71,21.7,1.00188,21.740796
304,ACO,37.397336,10.71064822,0.059854492,NA,8-Aug-22,326,71,37.6,1.01167,38.038792
104,ACO,37.19204,10.71064822,0.060368439,NA,8-Aug-22,326,71,37.6,1.00587,37.820712
404,ACO,17.95932,22.70263167,0.060546755,NA,8-Aug-23,691,71,18.4,0.95935,17.65204
104,ACO,17.918656,22.70263167,0.060646602,NA,8-Aug-23,691,71,18.4,0.98053,18.041752
304,ACO,10.143386,31.93481618,0.060932181,NA,15-May-24,972,71,10.7,1.01918,10.905226
104,ACO,36.879208,10.71064822,0.061157078,NA,8-Aug-22,326,71,37.6,1.02675,38.6058
304,ACO,17.679272,22.70263167,0.061239024,NA,8-Aug-23,691,71,18.4,0.97076,17.861984
304,ACO,36.839352,10.71064822,0.061258034,NA,8-Aug-22,326,71,37.6,0.94349,35.475224
404,ACO,36.733696,10.71064822,0.061526192,NA,8-Aug-22,326,71,37.6,1.05069,39.505944
404,ACO,36.66376,10.71064822,0.061704116,NA,8-Aug-22,326,71,37.6,1.04143,39.157768
204,ACO,17.429032,22.70263167,0.061866949,NA,8-Aug-23,691,71,18.4,0.97704,17.977536
404,ACO,20.526464,19.94283274,0.06222611,NA,15-May-23,607,71,21.7,1.04335,22.640695
204,ACO,20.450297,19.94283274,0.062412521,NA,15-May-23,607,71,21.7,1.05335,22.857695
204,ACO,42.650711,7.950849295,0.064098301,NA,15-May-22,242,71,44.3,1.01861,45.124423
104,ACO,42.132401,7.950849295,0.065636109,NA,15-May-22,242,71,44.3,1.01037,44.759391
304,ACO,41.757623,7.950849295,0.066759894,NA,15-May-22,242,71,44.3,1.03602,45.895686
104,AO,71,0,0,NA,15-May-22,0,71,71,NA,NA
104,AO,71,0,0,NA,15-May-22,0,71,71,NA,NA
204,AO,71,0,0,NA,15-May-22,0,71,71,NA,NA
204,AO,71,0,0,NA,15-May-22,0,71,71,NA,NA
304,AO,71,0,0,NA,15-May-22,0,71,71,NA,NA
304,AO,71,0,0,NA,15-May-22,0,71,71,NA,NA
404,AO,71,0,0,NA,15-May-22,0,71,71,NA,NA
404,AO,71,0,0,NA,15-May-22,0,71,71,NA,NA
304,AO,50.305059,7.950849295,0.04333804,NA,15-May-22,242,71,37.7,0.9697,36.55769
104,AO,49.687149,7.950849295,0.044892506,NA,15-May-22,242,71,37.7,1.02612,38.684724
304,AO,43.602354,10.71064822,0.04552187,NA,8-Aug-22,326,71,30.27,1.01495,30.7225365
204,AO,43.429299,10.71064822,0.045893167,NA,8-Aug-22,326,71,30.27,1.00189,30.3272103
404,AO,49.138215,7.950849295,0.046289751,NA,15-May-22,242,71,37.7,0.99596,37.547692
104,AO,43.191609,10.71064822,0.046405561,NA,8-Aug-22,326,71,30.27,1.02329,30.9749883
404,AO,43.020222,10.71064822,0.046776776,NA,8-Aug-22,326,71,30.27,0.98066,29.6845782
204,AO,24.34205,22.70263167,0.047152004,NA,8-Aug-23,691,71,11.65,1.00839,11.7477435
404,AO,24.26155,22.70263167,0.047297912,NA,8-Aug-23,691,71,11.65,0.99396,11.579634
304,AO,27.544704,19.94283274,0.047479192,NA,15-May-23,607,71,14.52,1.02777,14.9232204
404,AO,27.509328,19.94283274,0.047543633,NA,15-May-23,607,71,14.52,1.04795,15.216234
204,AO,15.314232,31.93481618,0.048032131,NA,15-May-24,972,71,5.59,0.95412,5.3335308
404,AO,23.63917,22.70263167,0.048442613,NA,8-Aug-23,691,71,11.65,0.97944,11.410476
204,AO,23.58903,22.70263167,0.04853614,NA,8-Aug-23,691,71,11.65,0.94637,11.0252105
104,AO,26.929584,19.94283274,0.048611671,NA,15-May-23,607,71,14.52,0.96775,14.05173
304,AO,23.50324,22.70263167,0.048696627,NA,8-Aug-23,691,71,11.65,1.00507,11.7090655
404,AO,26.858568,19.94283274,0.048744078,NA,15-May-23,607,71,14.52,0.97814,14.2025928
104,AO,23.45931,22.70263167,0.048779034,NA,8-Aug-23,691,71,11.65,1.00911,11.7561315
104,AO,48.100701,7.950849295,0.048973778,NA,15-May-22,242,71,37.7,0.9684,36.50868
304,AO,14.8263,31.93481618,0.049046071,NA,15-May-24,972,71,5.59,0.96787,5.4103933
304,AO,14.794326,31.93481618,0.049113674,NA,15-May-24,972,71,5.59,1.03879,5.8068361
304,AO,26.61252,19.94283274,0.049205552,NA,15-May-23,607,71,14.52,0.99118,14.3919336
404,AO,14.677818,31.93481618,0.049361252,NA,15-May-24,972,71,5.59,0.95416,5.3337544
204,AO,41.777979,10.71064822,0.049512456,NA,8-Aug-22,326,71,30.27,0.98855,29.9234085
204,AO,14.499698,31.93481618,0.049743579,NA,15-May-24,972,71,5.59,0.97264,5.4370576
104,AO,41.627025,10.71064822,0.049850417,NA,8-Aug-22,326,71,30.27,0.94644,28.6487388
404,AO,14.447868,31.93481618,0.049855713,NA,15-May-24,972,71,5.59,0.95557,5.3416363
204,AO,26.044656,19.94283274,0.050287102,NA,15-May-23,607,71,14.52,1.01246,14.7009192
104,AO,26.024064,19.94283274,0.050326764,NA,15-May-23,607,71,14.52,1.03974,15.0970248
104,AO,14.192806,31.93481618,0.050413463,NA,15-May-24,972,71,5.59,1.01852,5.6935268
104,AO,22.60417,22.70263167,0.050414661,NA,8-Aug-23,691,71,11.65,0.94618,11.022997
304,AO,47.489976,7.950849295,0.050580913,NA,15-May-22,242,71,37.7,0.97968,36.933936
104,AO,14.04666,31.93481618,0.050737578,NA,15-May-24,972,71,5.59,0.94842,5.3016678
204,AO,25.736304,19.94283274,0.05088431,NA,15-May-23,607,71,14.52,0.9644,14.003088
204,AO,47.048817,7.950849295,0.051754742,NA,15-May-22,242,71,37.7,1.01313,38.195001
304,AO,40.74924,10.71064822,0.051840251,NA,8-Aug-22,326,71,30.27,0.9735,29.467845
304,AO,21.77433,22.70263167,0.052062164,NA,8-Aug-23,691,71,11.65,0.94279,10.9835035
204,AO,46.437613,7.950849295,0.053399342,NA,15-May-22,242,71,37.7,0.9492,35.78484
404,AO,39.282651,10.71064822,0.055262473,NA,8-Aug-22,326,71,30.27,0.9638,29.174226
404,AO,45.124195,7.950849295,0.05700791,NA,15-May-22,242,71,37.7,1.05427,39.745979
104,C,71,0,0,NA,15-May-22,0,71,71,NA,NA
104,C,71,0,0,NA,15-May-22,0,71,71,NA,NA
204,C,71,0,0,NA,15-May-22,0,71,71,NA,NA
204,C,71,0,0,NA,15-May-22,0,71,71,NA,NA
304,C,71,0,0,NA,15-May-22,0,71,71,NA,NA
304,C,71,0,0,NA,15-May-22,0,71,71,NA,NA
404,C,71,0,0,NA,15-May-22,0,71,71,NA,NA
404,C,71,0,0,NA,15-May-22,0,71,71,NA,NA
204,C,53.11482,10.71064822,0.027096763,NA,8-Aug-22,326,71,50.6,1.02736,51.984416
404,C,56.948184,7.950849295,0.027737675,NA,15-May-22,242,71,55.2,0.95098,52.494096
404,C,52.505596,10.71064822,0.028173843,NA,8-Aug-22,326,71,50.6,0.97168,49.167008
404,C,56.399165,7.950849295,0.028956092,NA,15-May-22,242,71,53.5,0.96057,51.390495
204,C,36.5722,22.70263167,0.029220907,NA,8-Aug-23,691,71,34.6,0.98668,34.139128
304,C,36.437952,22.70263167,0.029382893,NA,8-Aug-23,691,71,34.6,1.02325,35.40445
104,C,51.800232,10.71064822,0.029436617,NA,8-Aug-22,326,71,50.6,0.95346,48.245076
404,C,27.417222,31.93481618,0.029795334,NA,15-May-24,972,71,25.9,1.05402,27.299118
404,C,27.128178,31.93481618,0.03012721,NA,15-May-24,972,71,25.9,0.94566,24.492594
104,C,38.879946,19.94283274,0.030196377,NA,15-May-23,607,71,37.8,1.05274,39.793572
304,C,51.362036,10.71064822,0.030229783,NA,8-Aug-22,326,71,50.6,1.04106,52.677636
404,C,35.699934,22.70263167,0.0302842,NA,8-Aug-23,691,71,34.6,0.98751,34.167846
304,C,55.67317,7.950849295,0.030585605,NA,15-May-22,242,71,53.5,0.99638,53.30633
204,C,26.523931,31.93481618,0.030832571,NA,15-May-24,972,71,25.9,0.96861,25.086999
304,C,38.310678,19.94283274,0.030935987,NA,15-May-23,607,71,37.8,0.98523,37.241694
404,C,38.29518,19.94283274,0.030956276,NA,15-May-23,607,71,37.8,0.94449,35.701722
404,C,34.917628,22.70263167,0.031260168,NA,8-Aug-23,691,71,34.6,0.99287,34.353302
104,C,26.135949,31.93481618,0.031294001,NA,15-May-24,972,71,25.9,1.01488,26.285392
304,C,26.08648,31.93481618,0.031353326,NA,15-May-24,972,71,25.9,0.97596,25.277364
204,C,34.68477,22.70263167,0.031554896,NA,8-Aug-23,691,71,34.6,1.00286,34.698956
204,C,25.883424,31.93481618,0.031598025,NA,15-May-24,972,71,25.9,0.94146,24.383814
304,C,37.514988,19.94283274,0.031988402,NA,15-May-23,607,71,37.8,0.9968,37.67904
104,C,34.28341,22.70263167,0.032067574,NA,8-Aug-23,691,71,34.6,1.02586,35.494756
304,C,34.200024,22.70263167,0.03217484,NA,8-Aug-23,691,71,34.6,1.03723,35.888158
104,C,50.10665,10.71064822,0.032540154,NA,8-Aug-22,326,71,50.6,1.03883,52.564798
204,C,37.097676,19.94283274,0.032549315,NA,15-May-23,607,71,37.8,0.94128,35.580384
204,C,36.825138,19.94283274,0.032919053,NA,15-May-23,607,71,37.8,1.04463,39.487014
104,C,24.774645,31.93481618,0.032969005,NA,15-May-24,972,71,25.9,0.95385,24.704715
304,C,24.54802,31.93481618,0.033256765,NA,15-May-24,972,71,25.9,0.98055,25.396245
204,C,54.283775,7.950849295,0.033764254,NA,15-May-22,242,71,53.5,1.02098,54.62243
104,C,32.986602,22.70263167,0.033766059,NA,8-Aug-23,691,71,34.6,0.99103,34.289638
404,C,35.942508,19.94283274,0.034135533,NA,15-May-23,607,71,37.8,0.97286,36.774108
104,C,35.90244,19.94283274,0.034191462,NA,15-May-23,607,71,37.8,0.98323,37.166094
404,C,48.69997,10.71064822,0.035198753,NA,8-Aug-22,326,71,50.6,0.97238,49.202428
204,C,47.998148,10.71064822,0.036554039,NA,8-Aug-22,326,71,50.6,1.03068,52.152408
304,C,47.84736,10.71064822,0.03684781,NA,8-Aug-22,326,71,50.6,0.98134,49.655804
104,C,52.882704,7.950849295,0.037053092,NA,15-May-22,242,71,55.2,1.05652,58.319904
204,C,52.74886,7.950849295,0.037371821,NA,15-May-22,242,71,53.5,0.98331,52.607085
304,C,52.477615,7.950849295,0.038020238,NA,15-May-22,242,71,53.5,1.00759,53.906065
104,C,51.67565,7.950849295,0.039957139,NA,15-May-22,242,71,53.5,1.0579,56.59765
104,CO,71,0,0,NA,15-May-22,0,71,71,NA,NA
104,CO,71,0,0,NA,15-May-22,0,71,71,NA,NA
204,CO,71,0,0,NA,15-May-22,0,71,71,NA,NA
204,CO,71,0,0,NA,15-May-22,0,71,71,NA,NA
304,CO,71,0,0,NA,15-May-22,0,71,71,NA,NA
304,CO,71,0,0,NA,15-May-22,0,71,71,NA,NA
404,CO,71,0,0,NA,15-May-22,0,71,71,NA,NA
404,CO,71,0,0,NA,15-May-22,0,71,71,NA,NA
304,CO,50.305059,7.950849295,0.04333804,NA,15-May-22,242,71,47.9,1.00805,48.285595
104,CO,49.687149,7.950849295,0.044892506,NA,15-May-22,242,71,47.9,0.94993,45.501647
304,CO,43.602354,10.71064822,0.04552187,NA,8-Aug-22,326,71,41.7,0.98394,41.030298
204,CO,43.429299,10.71064822,0.045893167,NA,8-Aug-22,326,71,41.7,0.98885,41.235045
404,CO,49.138215,7.950849295,0.046289751,NA,15-May-22,242,71,47.9,0.9629,46.12291
104,CO,43.191609,10.71064822,0.046405561,NA,8-Aug-22,326,71,41.7,0.97837,40.798029
404,CO,43.020222,10.71064822,0.046776776,NA,8-Aug-22,326,71,41.7,0.94909,39.577053
204,CO,24.34205,22.70263167,0.047152004,NA,8-Aug-23,691,71,23,1.05014,24.15322
404,CO,24.26155,22.70263167,0.047297912,NA,8-Aug-23,691,71,23,1.00536,23.12328
304,CO,27.544704,19.94283274,0.047479192,NA,15-May-23,607,71,26.4,1.031,27.2184
404,CO,27.509328,19.94283274,0.047543633,NA,15-May-23,607,71,26.4,0.9566,25.25424
204,CO,15.314232,31.93481618,0.048032131,NA,15-May-24,972,71,14.6,1.03777,15.151442
404,CO,23.63917,22.70263167,0.048442613,NA,8-Aug-23,691,71,23,1.01025,23.23575
204,CO,23.58903,22.70263167,0.04853614,NA,8-Aug-23,691,71,23,0.95374,21.93602
104,CO,26.929584,19.94283274,0.048611671,NA,15-May-23,607,71,26.4,0.98243,25.936152
304,CO,23.50324,22.70263167,0.048696627,NA,8-Aug-23,691,71,23,0.94116,21.64668
404,CO,26.858568,19.94283274,0.048744078,NA,15-May-23,607,71,26.4,0.94161,24.858504
104,CO,23.45931,22.70263167,0.048779034,NA,8-Aug-23,691,71,23,1.01025,23.23575
104,CO,48.100701,7.950849295,0.048973778,NA,15-May-22,242,71,47.9,0.96026,45.996454
304,CO,14.8263,31.93481618,0.049046071,NA,15-May-24,972,71,14.6,0.94849,13.847954
304,CO,14.794326,31.93481618,0.049113674,NA,15-May-24,972,71,14.6,1.02222,14.924412
304,CO,26.61252,19.94283274,0.049205552,NA,15-May-23,607,71,26.4,0.9467,24.99288
404,CO,14.677818,31.93481618,0.049361252,NA,15-May-24,972,71,14.6,0.94684,13.823864
204,CO,41.777979,10.71064822,0.049512456,NA,8-Aug-22,326,71,41.7,0.97815,40.788855
204,CO,14.499698,31.93481618,0.049743579,NA,15-May-24,972,71,14.6,0.96601,14.103746
104,CO,41.627025,10.71064822,0.049850417,NA,8-Aug-22,326,71,41.7,1.05693,44.073981
404,CO,14.447868,31.93481618,0.049855713,NA,15-May-24,972,71,14.6,1.02043,14.898278
204,CO,26.044656,19.94283274,0.050287102,NA,15-May-23,607,71,26.4,1.01222,26.722608
104,CO,26.024064,19.94283274,0.050326764,NA,15-May-23,607,71,26.4,0.99649,26.307336
104,CO,14.192806,31.93481618,0.050413463,NA,15-May-24,972,71,14.6,0.96422,14.077612
104,CO,22.60417,22.70263167,0.050414661,NA,8-Aug-23,691,71,23,1.05294,24.21762
304,CO,47.489976,7.950849295,0.050580913,NA,15-May-22,242,71,47.9,0.9796,46.92284
104,CO,14.04666,31.93481618,0.050737578,NA,15-May-24,972,71,14.6,0.96528,14.093088
204,CO,25.736304,19.94283274,0.05088431,NA,15-May-23,607,71,26.4,1.01482,26.791248
204,CO,47.048817,7.950849295,0.051754742,NA,15-May-22,242,71,47.9,1.03904,49.770016
304,CO,40.74924,10.71064822,0.051840251,NA,8-Aug-22,326,71,41.7,1.05021,43.793757
304,CO,21.77433,22.70263167,0.052062164,NA,8-Aug-23,691,71,23,0.96432,22.17936
204,CO,46.437613,7.950849295,0.053399342,NA,15-May-22,242,71,47.9,1.0304,49.35616
404,CO,39.282651,10.71064822,0.055262473,NA,8-Aug-22,326,71,41.7,1.00523,41.918091
404,CO,45.124195,7.950849295,0.05700791,NA,15-May-22,242,71,47.9,0.99054,47.446866
104,O,71,0,0,NA,15-May-22,0,71,71,NA,NA
104,O,71,0,0,NA,15-May-22,0,71,71,NA,NA
204,O,71,0,0,NA,15-May-22,0,71,71,NA,NA
204,O,71,0,0,NA,15-May-22,0,71,71,NA,NA
304,O,71,0,0,NA,15-May-22,0,71,71,NA,NA
304,O,71,0,0,NA,15-May-22,0,71,71,NA,NA
404,O,71,0,0,NA,15-May-22,0,71,71,NA,NA
404,O,71,0,0,NA,15-May-22,0,71,71,NA,NA
204,O,56.282535,7.950849295,0.029216452,NA,15-May-22,242,71,53.5,0.99584,53.27744
404,O,55.624485,7.950849295,0.030695638,NA,15-May-22,242,71,53.5,1.04241,55.768935
404,O,55.324885,7.950849295,0.031374896,NA,15-May-22,242,71,53.5,0.97499,52.161965
404,O,49.984585,10.71064822,0.032767878,NA,8-Aug-22,326,71,48.5,1.02686,49.80271
